
175	89
349	88
523	87
698	86
0.0872	85

1045	84
1219	83
1392	82
1564	81
0.1736	80

1908	79
2079	78
2250	77
2419	76
0.2588	75

2756	74
2924	73
3090	72
3256	71
0.3420	70

3584	69
3746	68
3907	67
4067	66
0.4226	65

4384	64
4540	63
4695	62
4848	61
0.5000	60

5150	59
5299	58
5446	57
5592	56
0.5736	55

0.5878	54
6018	53
6157	52
6293	51
0.6428	50
6561	49
6691	48
6820	47
6947	46
0.7071	45
7193	44
7314	43
7431	42
7547	41
0.7660	40
7771	39
7880	38
7986	37
8090	36
0.8192	35
8290	34
8387	33
8480	32
8572	31
0.8660	30
8746	29
8829	28
8910	27
8988	26
0.9063	25
9135	24
9205	23
9272	22
9336	21
0.9397	20
0.9455	19
9511	18
9563	17
9613	16
0.9659	15
9703	14
9744	13
9781	12
9816	1
0.9848	10

9877	9
9903	8
9925	7
9945	6
9962	5

9976	4
9986	3
9994	2
0.9998	1
1	    0

